Team,Year,Season,Medal Count
Austria-1,1928,Winter,2
Austria-1,1936,Winter,2
Austria-1,1956,Winter,2
Austria-1,1964,Winter,6
Austria-1,1968,Winter,6
Austria-1,1976,Winter,2
Austria-1,1980,Winter,2
Austria-1,1992,Winter,4
Austria-1,2006,Winter,2
Austria-1,2010,Winter,2
Austria-1,2014,Winter,2
Austria-2,1928,Winter,2
Austria-2,1964,Winter,2
Azerbaijan,1996,Summer,1
Azerbaijan,2000,Summer,3
Azerbaijan,2004,Summer,5
Azerbaijan,2008,Summer,7
Azerbaijan,2012,Summer,10
Azerbaijan,2016,Summer,18
"BLO Polo Club, Rugby",1900,Summer,4
Baby-1,1900,Summer,2
"Bagatelle Polo Club, Paris",1900,Summer,4
Bahamas,1992,Summer,1
Bahamas,1996,Summer,5
Bahamas,2000,Summer,11
Bahamas,2004,Summer,2
Bahamas,2008,Summer,7
Bahamas,2012,Summer,4
Bahamas,2016,Summer,6
Bahrain,2012,Summer,1
Bahrain,2016,Summer,2
Ballerina IV,1960,Summer,3
Barbados,2000,Summer,1
Barion/Bari-2,1906,Summer,3
Barrenjoey,1964,Summer,3
Beatrijs III-1,1920,Summer,3
Belarus,1994,Winter,2
Belarus,1996,Summer,23
Belarus,1998,Winter,2
Belarus,2000,Summer,22
Belarus,2002,Winter,1
Belarus,2004,Summer,15
Belarus,2006,Winter,1
Belarus,2008,Summer,29
Belarus,2010,Winter,3
Belarus,2012,Summer,23
Belarus,2014,Winter,6
Belarus,2016,Summer,12
Belgium,1900,Summer,14
Belgium,1906,Summer,9
Belgium,1908,Summer,21
Belgium,1912,Summer,19
Belgium,1920,Summer,177
Belgium,1924,Summer,39
Belgium,1928,Summer,5
Belgium,1928,Winter,1
Belgium,1932,Summer,1
Belgium,1936,Summer,14
Belgium,1948,Summer,15
Belgium,1948,Winter,6
Belgium,1952,Summer,8
Belgium,1956,Summer,2
Belgium,1960,Summer,4
Belgium,1964,Summer,3
Belgium,1968,Summer,3
Belgium,1972,Summer,2
Belgium,1976,Summer,9
Belgium,1980,Summer,1
Belgium,1984,Summer,5
Belgium,1988,Summer,2
Belgium,1992,Summer,3
Belgium,1996,Summer,6
Belgium,1998,Winter,1
Belgium,2000,Summer,7
Belgium,2004,Summer,3
Belgium,2008,Summer,5
Belgium,2012,Summer,3
Belgium,2016,Summer,21
Belgium-1,1900,Summer,1
